       Step     Time          Energy          fmax
MDMin:   22 15:35:04        2.216303        1.031781
MDMin:   23 15:35:04        2.090345        1.017641
MDMin:   24 15:35:04        1.976191        1.004970
MDMin:   25 15:35:04        1.872624        0.993809
       Step     Time          Energy          fmax
MDMin:    0 15:41:11       95.770453       50.247474
MDMin:    1 15:41:11       67.601374       18.971471
MDMin:    2 15:41:11       46.620127       10.888205
MDMin:    3 15:41:11       35.948371        6.581238
MDMin:    4 15:41:11       33.033160        2.861115
MDMin:    5 15:41:11       28.862408        4.430731
MDMin:    6 15:41:11       24.116663        3.458582
MDMin:    7 15:41:11       19.884160        2.522909
MDMin:    8 15:41:11       17.189890        2.739675
MDMin:    9 15:41:11       15.364455        2.614706
MDMin:   10 15:41:11       13.854268        2.549385
MDMin:   11 15:41:11       12.603674        2.517868
MDMin:   12 15:41:11       11.581785        2.504340
MDMin:   13 15:41:11       10.735960        2.492523
MDMin:   14 15:41:11       10.056488        2.510172
MDMin:   15 15:41:11        9.518230        2.510188
MDMin:   16 15:41:11        9.091370        2.459379
MDMin:   17 15:41:11        8.747698        2.352180
MDMin:   18 15:41:11        8.468454        2.194406
MDMin:   19 15:41:11        8.244355        1.998644
MDMin:   20 15:41:11        8.072956        1.780827
MDMin:   21 15:41:11        7.956013        1.558382
MDMin:   22 15:41:11        7.897073        1.351635
MDMin:   23 15:41:11        7.895663        1.306964
MDMin:   24 15:41:11        7.931119        1.261451
MDMin:   25 15:41:11        7.976765        1.214828
MDMin:   26 15:41:11        8.025131        1.166867
MDMin:   27 15:41:11        8.079440        1.117903
MDMin:   28 15:41:11        8.142753        1.068435
MDMin:   29 15:41:11        8.216183        1.018929
MDMin:   30 15:41:11        8.300689        0.969780
       Step     Time          Energy          fmax
MDMin:    0 15:54:44        5.307772        2.721489
MDMin:    1 15:54:44        5.039146        2.136023
MDMin:    2 15:54:44        4.528424        1.867238
MDMin:    3 15:54:44        4.071471        1.714118
MDMin:    4 15:54:44        3.743317        1.593994
MDMin:    5 15:54:44        3.465057        1.491654
MDMin:    6 15:54:44        3.213996        1.400298
MDMin:    7 15:54:44        2.979804        1.316242
MDMin:    8 15:54:44        2.757796        1.237579
MDMin:    9 15:54:44        2.546203        1.163396
MDMin:   10 15:54:44        2.344807        1.093317
MDMin:   11 15:54:44        2.154255        1.027238
MDMin:   12 15:54:44        1.975688        0.965169
       Step     Time          Energy          fmax
MDMin:    0 15:58:14       46.539594       10.931667
MDMin:    1 15:58:14       36.596703        5.517667
MDMin:    2 15:58:14       30.193195        3.868576
MDMin:    3 15:58:14       26.072242        3.053920
MDMin:    4 15:58:14       23.179967        2.567537
MDMin:    5 15:58:14       20.928397        2.309695
MDMin:    6 15:58:14       19.035629        2.140806
MDMin:    7 15:58:14       17.368082        1.994555
MDMin:    8 15:58:14       15.897619        1.855584
MDMin:    9 15:58:14       14.653096        1.738179
MDMin:   10 15:58:14       13.627776        1.651726
MDMin:   11 15:58:14       12.789213        1.600301
MDMin:   12 15:58:14       12.094181        1.543944
MDMin:   13 15:58:14       11.496772        1.480861
MDMin:   14 15:58:14       10.971048        1.409944
MDMin:   15 15:58:14       10.499983        1.338101
MDMin:   16 15:58:14       10.070420        1.299083
MDMin:   17 15:58:14        9.678982        1.262827
MDMin:   18 15:58:14        9.313767        1.227569
MDMin:   19 15:58:14        8.967134        1.192211
MDMin:   20 15:58:14        8.634802        1.156210
MDMin:   21 15:58:14        8.314359        1.119399
MDMin:   22 15:58:14        8.004470        1.081891
MDMin:   23 15:58:14        7.704432        1.044000
MDMin:   24 15:58:14        7.413612        1.006128
MDMin:   25 15:58:14        7.130980        0.968644
       Step     Time          Energy          fmax
MDMin:    0 16:18:20     1342.983619      572.427038
MDMin:    1 16:18:20     1105.994592      197.626389
MDMin:    2 16:18:20      925.287389       88.234118
MDMin:    3 16:18:20      762.810180       46.574598
MDMin:    4 16:18:20      618.382032       37.118896
MDMin:    5 16:18:20      522.153649       21.787054
MDMin:    6 16:18:20      485.719021       12.072280
MDMin:    7 16:18:21      459.495736       10.938436
MDMin:    8 16:18:21      433.002619       10.993374
MDMin:    9 16:18:21      404.193972       13.341383
MDMin:   10 16:18:21      375.425541       14.856965
MDMin:   11 16:18:21      356.424987       15.388560
MDMin:   12 16:18:21      327.792576       14.526285
MDMin:   13 16:18:21      303.630970       13.050781
MDMin:   14 16:18:21      276.285600       11.342767
MDMin:   15 16:18:21      250.700703        9.662854
MDMin:   16 16:18:21      225.666766        8.325587
MDMin:   17 16:18:21      202.395380        7.591884
MDMin:   18 16:18:21      182.391244        6.977356
MDMin:   19 16:18:21      164.902123        6.365197
MDMin:   20 16:18:21      149.447120        5.813052
MDMin:   21 16:18:21      135.727436        5.283991
MDMin:   22 16:18:21      123.474930        4.817507
MDMin:   23 16:18:21      112.493817        4.506027
MDMin:   24 16:18:21      102.772071        4.223392
MDMin:   25 16:18:21       94.131048        4.048256
MDMin:   26 16:18:21       86.539194        3.956730
MDMin:   27 16:18:21       79.926258        3.924983
MDMin:   28 16:18:21       74.186840        3.941406
MDMin:   29 16:18:21       69.212416        3.992483
MDMin:   30 16:18:21       64.895928        4.043453
MDMin:   31 16:18:21       61.111597        4.118281
MDMin:   32 16:18:21       57.789844        4.207837
MDMin:   33 16:18:21       54.866972        4.285970
MDMin:   34 16:18:21       52.494409        4.327590
MDMin:   35 16:18:21       50.563343        4.342431
MDMin:   36 16:18:21       48.794796        4.352942
MDMin:   37 16:18:21       47.165860        4.358786
MDMin:   38 16:18:21       45.657663        4.360271
MDMin:   39 16:18:21       44.254691        4.357729
